,topic,gujlish,english
2414,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2415,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
2416,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
2417,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2418,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
2419,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2420,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2421,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
2422,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2423,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2424,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2425,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2426,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
2427,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2428,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
2429,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2430,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2431,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2432,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
2433,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2434,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2435,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2436,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2437,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2438,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2439,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2440,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
2441,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2442,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
2443,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2444,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
2445,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
2446,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2447,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2448,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
2449,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
2450,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2451,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
2452,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2453,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2454,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
2455,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
2456,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
2457,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2458,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2459,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2460,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
2461,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2462,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2463,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2464,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2465,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
2466,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
2467,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2468,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2469,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2470,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2471,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2472,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2473,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2474,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2475,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
2476,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
2477,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
2478,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2479,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
2480,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
2481,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2482,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2483,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2484,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2485,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
2486,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2487,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2488,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
2489,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2490,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2491,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
2492,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
2493,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2494,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2495,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2496,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2497,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2498,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2499,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2500,Asking for directions to a nearby landmark,Railway station kya che?,Where is the railway station?
2501,Comparing old songs to new remixes,Old songs timeless che.,Old songs are timeless.
2502,Discussing weekend plans,Kahi outdoor plan che?,Any outdoor plans?
2503,Sharing fitness and gym experiences,Gym mate motivation joie j hoy.,You really need motivation for the gym.
2504,Ordering food at a restaurant,Paneer tikka ane butter naan mokli do.,Send paneer tikka and butter naan.
2505,Talking about a recent cricket match,Match last over sudhi tight hato.,The match was tight till the last over.
2506,Discussing a friend's recent wedding,Food bahu tasty hatu!,The food was very tasty!
2507,Debating street food vs. restaurant food,Restaurant ma ambience matter kare che.,Ambience matters in restaurants.
2508,Debating street food vs. restaurant food,Street food sasti ane tasty hoy.,Street food is cheap and tasty.
2509,Asking for directions to a nearby landmark,"Library jawanu che, rasto batavo.","I want to go to the library, show me the way."
2510,Planning a trip to Goa,Scooter rent par laiye?,Shall we rent a scooter?
2511,Comparing old songs to new remixes,Original song ni feel biji j che.,Original songs have a different feel.
2512,Discussing weekend plans,Weekend ma movie jova jaiye?,Shall we go for a movie this weekend?
2513,Talking about Diwali preparations,Light lagadvani che aaje.,Have to put up lights today.
2514,Complaining about the Delhi traffic,Rickshaw pan nathi madti traffic ma.,Can't even get a rickshaw in traffic.
2515,Ordering food at a restaurant,Bill lavjo please.,Please bring the bill.
2516,Comparing old songs to new remixes,Remix ma soul nathi hoti.,Remixes lack soul.
2517,Talking about changes in weather,Thand vadhi gayi che.,The cold has increased.
2518,Complaining about the Delhi traffic,Rickshaw pan nathi madti traffic ma.,Can't even get a rickshaw in traffic.
2519,Discussing a new Bollywood movie,Story thodi weak hati.,The story was a bit weak.
2520,Discussing a friend's recent wedding,Shaadi ma khub maja avi.,The wedding was a lot of fun.
2521,Comparing old songs to new remixes,Old songs timeless che.,Old songs are timeless.
2522,Talking about Diwali preparations,Faral banavvano plan che.,Planning to make sweets and snacks.
2523,Asking for directions to a nearby landmark,Hospital java rasto kai taraf che?,Which way is the hospital?
2524,Debating street food vs. restaurant food,Street food sasti ane tasty hoy.,Street food is cheap and tasty.
2525,Asking for directions to a nearby landmark,"Library jawanu che, rasto batavo.","I want to go to the library, show me the way."
2526,Discussing a new Bollywood movie,Climax unexpected hato.,The climax was unexpected.
2527,Comparing old songs to new remixes,Original song ni feel biji j che.,Original songs have a different feel.
2528,Ordering food at a restaurant,Paneer tikka ane butter naan mokli do.,Send paneer tikka and butter naan.
2529,Ordering food at a restaurant,Thodu spicy banavjo please.,Please make it a bit spicy.
2530,Discussing a friend's recent wedding,Food bahu tasty hatu!,The food was very tasty!
2531,Sharing fitness and gym experiences,Gym mate motivation joie j hoy.,You really need motivation for the gym.
2532,Planning a trip to Goa,December ma Goa ni maja alag j hoy!,Goa in December hits different!
2533,Sharing fitness and gym experiences,Daily 1 hour gym karu chu.,I gym for 1 hour daily.
2534,Discussing weekend plans,Kahi outdoor plan che?,Any outdoor plans?
2535,Debating street food vs. restaurant food,Restaurant ma ambience matter kare che.,Ambience matters in restaurants.
2536,Asking for directions to a nearby landmark,Railway station kya che?,Where is the railway station?
2537,Comparing old songs to new remixes,Old songs timeless che.,Old songs are timeless.
2538,Comparing old songs to new remixes,Navu version jamtu nathi.,Donâ€™t like the new version.
2539,Discussing a friend's recent wedding,Dance performance next level hati!,The dance performance was next level!
2540,Asking for directions to a nearby landmark,Railway station kya che?,Where is the railway station?
